127.0.0.1 - - [03/Aug/2022:15:42:36 +0900] "GET / HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET / HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /userConn/userLogIn.do HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /css/font.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /js/plugin/jquery/jquery-ui-1.11.1.min.js HTTP/1.1" 200 238326
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /js/plugin/jquery/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /css/common.css HTTP/1.1" 200 19213
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /images/dg_logo.png HTTP/1.1" 200 4392
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /images/login.jpg HTTP/1.1" 200 558663
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "POST /userConn/userLogInProc.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /flood/rainfall.do HTTP/1.1" 200 9489
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /js/plugin/ol_3/ol.js HTTP/1.1" 200 505326
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /js/plugin/highcharts/highcharts.js HTTP/1.1" 200 238712
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /js/plugin/ol_3/proj4.js HTTP/1.1" 200 73277
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /css/jquery-ui.css HTTP/1.1" 200 22175
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /js/component/common_gis.js HTTP/1.1" 200 7509
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /js/plugin/highcharts/modules/exporting.js HTTP/1.1" 200 14137
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /js/component/common.js HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /images/logo.gif HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /images/btn_now.gif HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:46 +0900] "GET /images/legend.gif HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:47 +0900] "GET /images/gnb_line.png HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:47 +0900] "GET /fonts/NanumBarunGothic.woff HTTP/1.1" 200 898588
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:48 +0900] "POST /floodCont/selectRainfallData.do HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:48 +0900] "GET /images/calendar.png HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:48 +0900] "GET /ncl_images/aws_1hr/2022/08/03/AWS_1HR_PRCP_2022080315_DAEGU.png' HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:48 +0900] "GET /ncl_images/aws_1hr/2022/08/03/AWS_1HR_PRCP_2022080315_DAEGU.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18764
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/samp_indInfo5.png HTTP/1.1" 200 94019
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/samp_indInfo6.png HTTP/1.1" 200 66507
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/samp_indInfo7.png HTTP/1.1" 200 59238
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/bl_round1.gif HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/submersion/01_01.jpg HTTP/1.1" 200 9476
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/submersion/01_00.jpg HTTP/1.1" 200 19449
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:49 +0900] "GET /images/submersion/01_02.jpg HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:05 +0900] "GET /js/plugin/highcharts/highcharts.js.map HTTP/1.1" 200 567003
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:05 +0900] "GET /js/plugin/highcharts/modules/exporting.js.map HTTP/1.1" 200 28527
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:06 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:06 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:08 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:08 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:09 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:09 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:09 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:09 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:10 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:10 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:18 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:18 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:19 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:19 +0900] "POST /floodCont/selectSubmersionData.do HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:46:19 +0900] "GET /flood/submersionInfo.do HTTP/1.1" 200 18930
